,Items,Origin,Items grouped,Category,Unit,amount,District,VDC,Village/Ward/extra info,lat,lon,District Latitude,District Longitude,Date,Location name,type
292,ORS,,Medicine - rehydration,Medicine,box,3.0,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Jhalungtar",list
293,Pasta-Thick,,Pasta,Food - Dry Food,pack,80.0,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Jhalungtar",list
294,PCM,,Medicine - drug,Medicine,tabs,100.0,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Jhalungtar",list
295,Piyush,,Piyush,Sanitation - Water purification,bottle,4.0,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Jhalungtar",list
296,Rope,,Rope,Shelter,unit,8.0,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Jhalungtar",list
297,Sanitary napkins,,Medicine - supplies,Sanitation - supplies,pack,5.0,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Jhalungtar",list
298,Biscuits,,Biscuits,Food - Dry Food,box,10.0,Lalitpur,Devichour,"and also Dhusel, Chhampi, Dukuchhap",27.5635,85.28299999999999,27.58333,85.33333,2015-05-01,"Devichour, and also Dhusel, Chhampi, Dukuchhap",list
299,Glucose - D,,Medicine - drug,Medicine,bottle,24.0,Lalitpur,Devichour,"and also Dhusel, Chhampi, Dukuchhap",27.5635,85.28299999999999,27.58333,85.33333,2015-05-01,"Devichour, and also Dhusel, Chhampi, Dukuchhap",list
300,Lime,,Lime,Shelter,pack,20.0,Lalitpur,Devichour,"and also Dhusel, Chhampi, Dukuchhap",27.5635,85.28299999999999,27.58333,85.33333,2015-05-01,"Devichour, and also Dhusel, Chhampi, Dukuchhap",list
301,Noodles,,Noodles,Food - Dry Food,box,4.0,Lalitpur,Devichour,"and also Dhusel, Chhampi, Dukuchhap",27.5635,85.28299999999999,27.58333,85.33333,2015-05-01,"Devichour, and also Dhusel, Chhampi, Dukuchhap",list
302,Tent (12x15),,Tarp,Shelter,unit,45.0,Lalitpur,Devichour,"and also Dhusel, Chhampi, Dukuchhap",27.5635,85.28299999999999,27.58333,85.33333,2015-05-01,"Devichour, and also Dhusel, Chhampi, Dukuchhap",list
303,Tent (18x24),,Tarp,Shelter,unit,15.0,Lalitpur,Devichour,"and also Dhusel, Chhampi, Dukuchhap",27.5635,85.28299999999999,27.58333,85.33333,2015-05-01,"Devichour, and also Dhusel, Chhampi, Dukuchhap",list
304,Beaten rice,,Beaten Rice,Food - Dry Food,sack,1.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
305,Betadine,,Medicine - drug,Medicine,bottle,4.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
306,Biscuits,,Biscuits,Food - Dry Food,box,3.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
307,Cotton,,Medicine - supplies,Sanitation - supplies,pack,1.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
308,Crepe Bandage,,Medicine - supplies,Sanitation - supplies,rolls,1.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
309,Foam Pads,,Medicine - supplies,Sanitation - supplies,unit,5.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
310,Gauge Bandage,,Medicine - supplies,Sanitation - supplies,rolls,18.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
311,Ibuprofen,,Medicine - drug,Medicine,tabs,100.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
312,Metal Pegs,,Metal Pegs,Shelter,unit,40.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
313,Metronidazole,,Medicine - drug,Medicine,tabs,100.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
314,Noodles,,Noodles,Food - Dry Food,box,2.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
315,ORS,,Medicine - rehydration,Medicine,box,36.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
316,PCM,,Medicine - drug,Medicine,tabs,100.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
317,Piyush,,Piyush,Sanitation - Water purification,bottle,4.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
318,Plastic rolls,,Plastic rolls,Shelter,rolls,1.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
319,Rope,,Rope,Shelter,unit,5.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
320,Sanitary napkins,,Medicine - supplies,Sanitation - supplies,pack,5.0,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Ghyampedanda",list
321,Betadine,,Medicine - drug,Medicine,bottle,4.0,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.34200000000001,27.58333,85.33333,2015-05-01,"Jharuwarasi, and also Chapagaun",list
322,Brucet,,Medicine - drug,Medicine,tabs,105.0,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.34200000000001,27.58333,85.33333,2015-05-01,"Jharuwarasi, and also Chapagaun",list
323,Cotton,,Medicine - supplies,Sanitation - supplies,pack,1.0,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.34200000000001,27.58333,85.33333,2015-05-01,"Jharuwarasi, and also Chapagaun",list
324,Crepe Bandage,,Medicine - supplies,Sanitation - supplies,rolls,1.0,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.34200000000001,27.58333,85.33333,2015-05-01,"Jharuwarasi, and also Chapagaun",list
325,Gauge Bandage,,Medicine - supplies,Sanitation - supplies,rolls,12.0,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.34200000000001,27.58333,85.33333,2015-05-01,"Jharuwarasi, and also Chapagaun",list
326,Metronidazole,,Medicine - drug,Medicine,tabs,100.0,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.34200000000001,27.58333,85.33333,2015-05-01,"Jharuwarasi, and also Chapagaun",list
327,ORS,,Medicine - rehydration,Medicine,box,36.0,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.34200000000001,27.58333,85.33333,2015-05-01,"Jharuwarasi, and also Chapagaun",list
328,PCM,,Medicine - drug,Medicine,tabs,100.0,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.34200000000001,27.58333,85.33333,2015-05-01,"Jharuwarasi, and also Chapagaun",list
329,Piyush,,Piyush,Sanitation - Water purification,bottle,4.0,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.34200000000001,27.58333,85.33333,2015-05-01,"Jharuwarasi, and also Chapagaun",list
330,Sanitary napkins,,Medicine - supplies,Sanitation - supplies,pack,5.0,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.34200000000001,27.58333,85.33333,2015-05-01,"Jharuwarasi, and also Chapagaun",list
331,Adhesive tape,,Medicine - supplies,Sanitation - supplies,rolls,1.0,Kathmandu District,Baad Bhanjyang,Mabina,27.704759999999997,85.2104,27.707040000000003,85.33218000000001,2015-05-01,"Baad Bhanjyang, Mabina",list
332,Azifast (amoxil),,Medicine - drug,Medicine,tabs,30.0,Kathmandu District,Baad Bhanjyang,Mabina,27.704759999999997,85.2104,27.707040000000003,85.33218000000001,2015-05-01,"Baad Bhanjyang, Mabina",list
333,Betadine,,Medicine - drug,Medicine,bottle,1.0,Kathmandu District,Baad Bhanjyang,Mabina,27.704759999999997,85.2104,27.707040000000003,85.33218000000001,2015-05-01,"Baad Bhanjyang, Mabina",list
334,Brufen,,Medicine - drug,Medicine,bottle,80.0,Kathmandu District,Baad Bhanjyang,Mabina,27.704759999999997,85.2104,27.707040000000003,85.33218000000001,2015-05-01,"Baad Bhanjyang, Mabina",list
335,Dettol antiseptic liquids,,Medicine - supplies,Sanitation - supplies,bottle,2.0,Kathmandu District,Baad Bhanjyang,Mabina,27.704759999999997,85.2104,27.707040000000003,85.33218000000001,2015-05-01,"Baad Bhanjyang, Mabina",list
336,Levocetrizine,,Medicine - drug,Medicine,tabs,50.0,Kathmandu District,Baad Bhanjyang,Mabina,27.704759999999997,85.2104,27.707040000000003,85.33218000000001,2015-05-01,"Baad Bhanjyang, Mabina",list
337,Ligdocaine,,Medicine - drug,Medicine,bottle,1.0,Kathmandu District,Baad Bhanjyang,Mabina,27.704759999999997,85.2104,27.707040000000003,85.33218000000001,2015-05-01,"Baad Bhanjyang, Mabina",list
338,Sanitary napkins,,Medicine - supplies,Sanitation - supplies,pack,4.0,Kathmandu District,Baad Bhanjyang,Mabina,27.704759999999997,85.2104,27.707040000000003,85.33218000000001,2015-05-01,"Baad Bhanjyang, Mabina",list
339,syringe,,Medicine - supplies,Sanitation - supplies,box,22.0,Kathmandu District,Baad Bhanjyang,Mabina,27.704759999999997,85.2104,27.707040000000003,85.33218000000001,2015-05-01,"Baad Bhanjyang, Mabina",list
340,Betadine,,Medicine - drug,Medicine,bottle,4.0,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Neupanegaun",list
341,Cotton,,Medicine - supplies,Sanitation - supplies,pack,1.0,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Neupanegaun",list
342,Crepe Bandage,,Medicine - supplies,Sanitation - supplies,rolls,4.0,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Neupanegaun",list
343,Gauge Bandage,,Medicine - supplies,Sanitation - supplies,rolls,4.0,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Neupanegaun",list
344,Metronidazole,,Medicine - drug,Medicine,tabs,100.0,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Neupanegaun",list
345,ORS,,Medicine - rehydration,Medicine,box,3.0,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Neupanegaun",list
346,paraflam,,Medicine - drug,Medicine,unit,6.0,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Neupanegaun",list
347,PCM,,Medicine - drug,Medicine,tabs,100.0,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Neupanegaun",list
348,Piyush,,Piyush,Sanitation - Water purification,bottle,4.0,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Neupanegaun",list
349,Plastic rolls,,Plastic rolls,Shelter,rolls,1.0,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Neupanegaun",list
350,Sanitary napkins,,Medicine - supplies,Sanitation - supplies,pack,5.0,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,2015-05-01,"Chapagaun, Neupanegaun",list
351,Beaten Rice,,Beaten Rice,Food - Dry Food,sack,1.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
352,Biscuits,,Biscuits,Food - Dry Food,box,10.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
353,Noodles,,Noodles,Food - Dry Food,box,2.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
354,Medicine - drug,,Medicine - drug,Medicine,tabs,20.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
355,Medicine - rehydration,,Medicine - rehydration,Medicine,unit,100.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
356,Medicine - supplies,,Medicine - supplies,Sanitation - supplies,unit,72.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
357,Plastic rolls,,Plastic rolls,Shelter,rolls,1.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
358,Tarp,,Tarp,Shelter,unit,57.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
359,Tarp,,Tarp,Shelter,unit,11.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
360,Beaten Rice,,Beaten Rice,Food - Dry Food,sack,1.0,Sindhupalchok,Kadambas,,27.723940000000002,85.76373000000001,27.829359999999998,85.54504,2015-05-02,"Kadambas, ",list
361,Biscuits,,Biscuits,Food - Dry Food,box,2.0,Sindhupalchok,Kadambas,,27.723940000000002,85.76373000000001,27.829359999999998,85.54504,2015-05-02,"Kadambas, ",list
362,Medical Kit,,Medical Kit,Medicine,unit,1.0,Sindhupalchok,Kadambas,,27.723940000000002,85.76373000000001,27.829359999999998,85.54504,2015-05-02,"Kadambas, ",list
363,Medicine - rehydration,,Medicine - rehydration,Medicine,unit,50.0,Sindhupalchok,Kadambas,,27.723940000000002,85.76373000000001,27.829359999999998,85.54504,2015-05-02,"Kadambas, ",list
364,Piyush,,Piyush,Sanitation - Water purification,bottle,3.0,Sindhupalchok,Kadambas,,27.723940000000002,85.76373000000001,27.829359999999998,85.54504,2015-05-02,"Kadambas, ",list
365,Lime,,Lime,Shelter,pack,12.0,Sindhupalchok,Kadambas,,27.723940000000002,85.76373000000001,27.829359999999998,85.54504,2015-05-02,"Kadambas, ",list
366,Plastic rolls,,Plastic rolls,Shelter,rolls,1.0,Sindhupalchok,Kadambas,,27.723940000000002,85.76373000000001,27.829359999999998,85.54504,2015-05-02,"Kadambas, ",list
367,Tarp,,Tarp,Shelter,unit,7.0,Sindhupalchok,Kadambas,,27.723940000000002,85.76373000000001,27.829359999999998,85.54504,2015-05-02,"Kadambas, ",list
368,Tarp,,Tarp,Shelter,unit,3.0,Sindhupalchok,Kadambas,,27.723940000000002,85.76373000000001,27.829359999999998,85.54504,2015-05-02,"Kadambas, ",list
369,Beaten Rice,,Beaten Rice,Food - Dry Food,sack,8.0,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2015-05-02,"Bhattedanda, and also Malta VDC",list
370,Biscuits,,Biscuits,Food - Dry Food,box,12.0,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2015-05-02,"Bhattedanda, and also Malta VDC",list
371,Noodles,,Noodles,Food - Dry Food,box,12.0,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2015-05-02,"Bhattedanda, and also Malta VDC",list
372,Medical Kit,,Medical Kit,Medicine,unit,3.0,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2015-05-02,"Bhattedanda, and also Malta VDC",list
373,Medicine - supplies,,Medicine - supplies,Sanitation - supplies,unit,72.0,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2015-05-02,"Bhattedanda, and also Malta VDC",list
374,Lime,,Lime,Shelter,pack,11.0,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2015-05-02,"Bhattedanda, and also Malta VDC",list
375,Rope,,Rope,Shelter,unit,85.0,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2015-05-02,"Bhattedanda, and also Malta VDC",list
376,Tarp,,Tarp,Shelter,unit,85.0,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2015-05-02,"Bhattedanda, and also Malta VDC",list
377,Beaten Rice,,Beaten Rice,Food - Dry Food,sack,4.0,Dhading,Marpak,,28.0135,84.9646,28.0,84.91667,2015-05-02,"Marpak, ",list
378,Biscuits,,Biscuits,Food - Dry Food,box,6.0,Dhading,Marpak,,28.0135,84.9646,28.0,84.91667,2015-05-02,"Marpak, ",list
379,Noodles,,Noodles,Food - Dry Food,box,6.0,Dhading,Marpak,,28.0135,84.9646,28.0,84.91667,2015-05-02,"Marpak, ",list
380,Medical Kit,,Medical Kit,Medicine,unit,2.0,Dhading,Marpak,,28.0135,84.9646,28.0,84.91667,2015-05-02,"Marpak, ",list
381,Medicine - rehydration,,Medicine - rehydration,Medicine,unit,50.0,Dhading,Marpak,,28.0135,84.9646,28.0,84.91667,2015-05-02,"Marpak, ",list
382,Medicine - supplies,,Medicine - supplies,Sanitation - supplies,unit,72.0,Dhading,Marpak,,28.0135,84.9646,28.0,84.91667,2015-05-02,"Marpak, ",list
383,Tarp,,Tarp,Shelter,unit,70.0,Dhading,Marpak,,28.0135,84.9646,28.0,84.91667,2015-05-02,"Marpak, ",list
384,Tarp,,Tarp,Shelter,unit,1.0,Lalitpur,LalitpurN.P.,,27.6691,85.3199,27.58333,85.33333,2015-05-02,"LalitpurN.P., ",list
385,Medical Kit,,Medical Kit,Medicine,unit,1.0,Dhading,Marpak,,28.0135,84.9646,28.0,84.91667,2015-05-02,"Marpak, ",list
386,Medicine - supplies,,Medicine - supplies,Sanitation - supplies,unit,20.0,Dhading,Marpak,,28.0135,84.9646,28.0,84.91667,2015-05-02,"Marpak, ",list
387,Medical Kit,,Medical Kit,Medicine,unit,1.0,Ramechhap,Gumdel,,27.640909999999998,86.42334,27.3303,86.06458,2015-05-02,"Gumdel, ",list
388,Medicine - rehydration,,Medicine - rehydration,Medicine,unit,200.0,Ramechhap,Gumdel,,27.640909999999998,86.42334,27.3303,86.06458,2015-05-02,"Gumdel, ",list
389,Piyush,,Piyush,Sanitation - Water purification,bottle,4.0,Ramechhap,Gumdel,,27.640909999999998,86.42334,27.3303,86.06458,2015-05-02,"Gumdel, ",list
390,Beaten Rice,,Beaten Rice,Food - Dry Food,sack,2.0,Dolakha,Gaurisankar,Sinigaun,27.855629999999998,86.26379,27.83333,86.25,2015-05-02,"Gaurisankar, Sinigaun",list
391,Noodles,,Noodles,Food - Dry Food,box,4.0,Dolakha,Gaurisankar,Sinigaun,27.855629999999998,86.26379,27.83333,86.25,2015-05-02,"Gaurisankar, Sinigaun",list
392,Medical Kit,,Medical Kit,Medicine,unit,1.0,Dolakha,Gaurisankar,Sinigaun,27.855629999999998,86.26379,27.83333,86.25,2015-05-02,"Gaurisankar, Sinigaun",list
393,Medicine - supplies,,Medicine - supplies,Sanitation - supplies,unit,90.0,Dolakha,Gaurisankar,Sinigaun,27.855629999999998,86.26379,27.83333,86.25,2015-05-02,"Gaurisankar, Sinigaun",list
394,Beaten Rice,,Beaten Rice,Food - Dry Food,sack,12.0,Dhading,Reegaun,Satya,28.1121,84.9752,28.0,84.91667,2015-05-02,"Reegaun, Satya",list
395,Biscuits,,Biscuits,Food - Dry Food,box,14.0,Dhading,Reegaun,Satya,28.1121,84.9752,28.0,84.91667,2015-05-02,"Reegaun, Satya",list
396,Food,,Food,Food - Supplies,pack,50.0,Dhading,Reegaun,Satya,28.1121,84.9752,28.0,84.91667,2015-05-02,"Reegaun, Satya",list
397,Noodles,,Noodles,Food - Dry Food,box,3.0,Dhading,Reegaun,Satya,28.1121,84.9752,28.0,84.91667,2015-05-02,"Reegaun, Satya",list
398,Rice,,Rice,Food - Dry Food,sack,2.0,Dhading,Reegaun,Satya,28.1121,84.9752,28.0,84.91667,2015-05-02,"Reegaun, Satya",list
399,Salt,,Salt,Food - Dry Food,pack,50.0,Dhading,Reegaun,Satya,28.1121,84.9752,28.0,84.91667,2015-05-02,"Reegaun, Satya",list
400,Sugar,,Sugar,Food - Dry Food,pack,50.0,Dhading,Reegaun,Satya,28.1121,84.9752,28.0,84.91667,2015-05-02,"Reegaun, Satya",list
401,Medical Kit,,Medical Kit,Medicine,unit,2.0,Dhading,Reegaun,Satya,28.1121,84.9752,28.0,84.91667,2015-05-02,"Reegaun, Satya",list
402,Medicine - supplies,,Medicine - supplies,Sanitation - supplies,unit,120.0,Dhading,Reegaun,Satya,28.1121,84.9752,28.0,84.91667,2015-05-02,"Reegaun, Satya",list
403,Piyush,,Piyush,Sanitation - Water purification,bottle,6.0,Dhading,Reegaun,Satya,28.1121,84.9752,28.0,84.91667,2015-05-02,"Reegaun, Satya",list
404,Biscuits,,Biscuits,Food - Dry Food,box,10.0,Gorkha,Aarupokhari,,28.0618,84.77600000000001,28.33333,84.83333,2015-05-02,"Aarupokhari, ",list
405,Noodles,,Noodles,Food - Dry Food,box,3.0,Gorkha,Aarupokhari,,28.0618,84.77600000000001,28.33333,84.83333,2015-05-02,"Aarupokhari, ",list
406,Sugar,,Sugar,Food - Dry Food,pack,51.0,Gorkha,Aarupokhari,,28.0618,84.77600000000001,28.33333,84.83333,2015-05-02,"Aarupokhari, ",list
407,Medicine - drug,,Medicine - drug,Medicine,tabs,180.0,Gorkha,Aarupokhari,,28.0618,84.77600000000001,28.33333,84.83333,2015-05-02,"Aarupokhari, ",list
408,Medicine - rehydration,,Medicine - rehydration,Medicine,unit,50.0,Gorkha,Aarupokhari,,28.0618,84.77600000000001,28.33333,84.83333,2015-05-02,"Aarupokhari, ",list
409,Medicine - supplies,,Medicine - supplies,Sanitation - supplies,unit,72.0,Gorkha,Aarupokhari,,28.0618,84.77600000000001,28.33333,84.83333,2015-05-02,"Aarupokhari, ",list
410,Purification tablets,,Purification tablets,Sanitation - Water purification,tabs,500.0,Gorkha,Aarupokhari,,28.0618,84.77600000000001,28.33333,84.83333,2015-05-02,"Aarupokhari, ",list
411,Medicine - rehydration,,Medicine - rehydration,Medicine,unit,3.0,Kathmandu District,KirtipurN.P.,,27.67088,85.27748000000001,27.707040000000003,85.33218000000001,2015-05-02,"KirtipurN.P., ",list
412,Beaten Rice,,Beaten Rice,Food - Dry Food,sack,1.0,Dolakha,Chhetrapa,Yabo,27.66913,86.13334,27.83333,86.25,2015-05-02,"Chhetrapa, Yabo",list
413,Biscuits,,Biscuits,Food - Dry Food,box,5.0,Dolakha,Chhetrapa,Yabo,27.66913,86.13334,27.83333,86.25,2015-05-02,"Chhetrapa, Yabo",list
414,Noodles,,Noodles,Food - Dry Food,box,2.0,Dolakha,Chhetrapa,Yabo,27.66913,86.13334,27.83333,86.25,2015-05-02,"Chhetrapa, Yabo",list
415,Medicine - supplies,,Medicine - supplies,Sanitation - supplies,unit,3.0,Dolakha,Chhetrapa,Yabo,27.66913,86.13334,27.83333,86.25,2015-05-02,"Chhetrapa, Yabo",list
416,Lime,,Lime,Shelter,pack,10.0,Dolakha,Chhetrapa,Yabo,27.66913,86.13334,27.83333,86.25,2015-05-02,"Chhetrapa, Yabo",list
417,Beaten Rice,,Beaten Rice,Food - Dry Food,sack,1.0,Dhading,Jyamrung,Kuma,27.976,84.8736,28.0,84.91667,2015-05-02,"Jyamrung, Kuma",list
418,Biscuits,,Biscuits,Food - Dry Food,box,1.0,Dhading,Jyamrung,Kuma,27.976,84.8736,28.0,84.91667,2015-05-02,"Jyamrung, Kuma",list
419,Sanitary pads,,Sanitary pads,Sanitation - supplies,pack,8.0,Dhading,Jyamrung,Kuma,27.976,84.8736,28.0,84.91667,2015-05-02,"Jyamrung, Kuma",list
420,Piyush,,Piyush,Sanitation - Water purification,bottle,5.0,Dhading,Jyamrung,Kuma,27.976,84.8736,28.0,84.91667,2015-05-02,"Jyamrung, Kuma",list
421,Medicine - rehydration,,Medicine - rehydration,Medicine,unit,36.0,Dhading,Gumdi,Jyamrung,28.0475,84.95100000000001,28.0,84.91667,2015-05-02,"Gumdi, Jyamrung",list
422,Medicine - supplies,,Medicine - supplies,Sanitation - supplies,unit,25.0,Dhading,Gumdi,Jyamrung,28.0475,84.95100000000001,28.0,84.91667,2015-05-02,"Gumdi, Jyamrung",list
423,Sanitary pads,,Sanitary pads,Sanitation - supplies,pack,15.0,Dhading,Gumdi,Jyamrung,28.0475,84.95100000000001,28.0,84.91667,2015-05-02,"Gumdi, Jyamrung",list
424,Piyush,,Piyush,Sanitation - Water purification,bottle,10.0,Dhading,Gumdi,Jyamrung,28.0475,84.95100000000001,28.0,84.91667,2015-05-02,"Gumdi, Jyamrung",list
425,Beaten Rice,,Beaten Rice,Food - Dry Food,sack,4.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
426,Biscuits,,Biscuits,Food - Dry Food,box,6.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
427,Noodles,,Noodles,Food - Dry Food,box,6.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
428,Medical Kit,,Medical Kit,Medicine,unit,2.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
429,Medicine - rehydration,,Medicine - rehydration,Medicine,unit,150.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
430,Medicine - supplies,,Medicine - supplies,Sanitation - supplies,unit,144.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
431,Plastic rolls,,Plastic rolls,Shelter,rolls,23.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
432,Rope,,Rope,Shelter,unit,90.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
433,Tarp,,Tarp,Shelter,unit,110.0,Sindhupalchok,Jalbire,,27.821479999999998,85.78307,27.829359999999998,85.54504,2015-05-02,"Jalbire, ",list
434,Biscuits,,Biscuits,Food - Dry Food,box,5.0,Bhaktapur,Kautunje,Suryabinayak,27.6636,85.4115,27.667340000000003,85.41673,2015-05-02,"Kautunje, Suryabinayak",list
