Items,Origin,Items grouped,Item group filter,Category,Unit,amount,"FSC - KGs (sack=25, pack=1, box=4.5)",FSC - Total KGs,Mission,District,VDC,Village/Ward/extra info,VDC Latitude,VDC Longitude,District Latitude,District Longitude,Date
,,Tarp,,Shelter,unit,24,Undefined,#VALUE!,MISSION 01/5 *15,Lalitpur,Nallu,Choughare,27.5481,85.3454,27.58333,85.33333,1-May-15
Beaten rice,,Beaten Rice,1,Food - Dry Food,sack,1,25,25,MISSION 01/5 #01,Bhaktapur,Bhaktapur,,27.66734,85.41673,27.66734,85.41673,1-May-15
Water,,Water,1,Food - Drinks,bottle,48,Undefined,#VALUE!,MISSION 01/5 #01,Bhaktapur,Bhaktapur,,27.66734,85.41673,27.66734,85.41673,1-May-15
Noodles,,Noodles,1,Food - Dry Food,box,1,4.5,4.5,MISSION 01/5 #01,Bhaktapur,Bhaktapur,,27.66734,85.41673,27.66734,85.41673,1-May-15
Beaten rice,,Beaten Rice,1,Food - Dry Food,sack,2,25,50,MISSION 01/5 #02,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,1-May-15
Biscuits,,Biscuits,1,Food - Dry Food,box,7,4.5,31.5,MISSION 01/5 #02,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,1-May-15
Glucose - D,,Medicine - drug,31,Medicine,bottle,16,Undefined,#VALUE!,MISSION 01/5 #02,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,1-May-15
Lime,,Lime,1,Shelter,pack,16,Undefined,#VALUE!,MISSION 01/5 #02,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,1-May-15
Medical Kit,,Medical Kit,1,Medicine,unit,1,Undefined,#VALUE!,MISSION 01/5 #02,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,1-May-15
Noodles,,Noodles,1,Food - Dry Food,box,3,4.5,13.5,MISSION 01/5 #02,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,1-May-15
Noodles,,Noodles,2,Food - Dry Food,box,3,4.5,13.5,MISSION 01/5 #02,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,1-May-15
Tent (13x20),,Tarp,6,Shelter,unit,6,Undefined,#VALUE!,MISSION 01/5 #02,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,1-May-15
Tent (15x18),,Tarp,7,Shelter,unit,15,Undefined,#VALUE!,MISSION 01/5 #02,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,1-May-15
Tent (18x24),,Tarp,8,Shelter,unit,5,Undefined,#VALUE!,MISSION 01/5 #02,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,1-May-15
Tent (9x12),,Tarp,11,Shelter,unit,24,Undefined,#VALUE!,MISSION 01/5 #02,Lalitpur,Bhattedanda,Tinpane,27.5108,85.2961,27.58333,85.33333,1-May-15
Betadine,,Medicine - drug,14,Medicine,bottle,2,Undefined,#VALUE!,MISSION 01/5 #10,Kathmandu District,KirtipurN.P.,Itagol,27.67088,85.27748,27.70704,85.33218,1-May-15
Cotton,,Medicine - supplies,6,Sanitation - supplies,pack,1,Undefined,#VALUE!,MISSION 01/5 #10,Kathmandu District,KirtipurN.P.,Itagol,27.67088,85.27748,27.70704,85.33218,1-May-15
Diapers,,Medicine - supplies,10,Sanitation - supplies,box,2,Undefined,#VALUE!,MISSION 01/5 #10,Kathmandu District,KirtipurN.P.,Itagol,27.67088,85.27748,27.70704,85.33218,1-May-15
Flex on (painkiller,,Medicine - drug,29,Medicine,box,10,Undefined,#VALUE!,MISSION 01/5 #10,Kathmandu District,KirtipurN.P.,Itagol,27.67088,85.27748,27.70704,85.33218,1-May-15
Gauge Bandage,,Medicine - supplies,16,Sanitation - supplies,rolls,5,Undefined,#VALUE!,MISSION 01/5 #10,Kathmandu District,KirtipurN.P.,Itagol,27.67088,85.27748,27.70704,85.33218,1-May-15
Lactogen,,Lactogen,1,Sanitation - Children supplies,unit,2,Undefined,#VALUE!,MISSION 01/5 #10,Kathmandu District,KirtipurN.P.,Itagol,27.67088,85.27748,27.70704,85.33218,1-May-15
ORS,,Medicine - rehydration,4,Medicine,box,50,Undefined,#VALUE!,MISSION 01/5 #10,Kathmandu District,KirtipurN.P.,Itagol,27.67088,85.27748,27.70704,85.33218,1-May-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,4,Undefined,#VALUE!,MISSION 01/5 #10,Kathmandu District,KirtipurN.P.,Itagol,27.67088,85.27748,27.70704,85.33218,1-May-15
protogyl (anti diarhea),,Medicine - drug,4,Medicine,bottle,10,Undefined,#VALUE!,MISSION 01/5 #10,Kathmandu District,KirtipurN.P.,Itagol,27.67088,85.27748,27.70704,85.33218,1-May-15
Tarp,,Tarp,1,Shelter,unit,5,Undefined,#VALUE!,MISSION 01/5 #11,Kathmandu District,Chunikhel,,27.75586,85.37301,27.70704,85.33218,1-May-15
Betadine,,Medicine - drug,14,Medicine,bottle,4,Undefined,#VALUE!,MISSION 01/5 #12,Kabhre Palanchok,DhulikhelN.P,Kutal,27.6217,85.5576,27.58333,85.66667,1-May-15
Flexon,,Medicine - drug,30,Medicine,unit,15,Undefined,#VALUE!,MISSION 01/5 #12,Kabhre Palanchok,DhulikhelN.P,Kutal,27.6217,85.5576,27.58333,85.66667,1-May-15
Gauge Bandage,,Medicine - supplies,16,Sanitation - supplies,rolls,10,Undefined,#VALUE!,MISSION 01/5 #12,Kabhre Palanchok,DhulikhelN.P,Kutal,27.6217,85.5576,27.58333,85.66667,1-May-15
Jeevanjal,,Medicine - rehydration,3,Medicine,unit,50,Undefined,#VALUE!,MISSION 01/5 #12,Kabhre Palanchok,DhulikhelN.P,Kutal,27.6217,85.5576,27.58333,85.66667,1-May-15
Metronidazole,,Medicine - drug,43,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 #12,Kabhre Palanchok,DhulikhelN.P,Kutal,27.6217,85.5576,27.58333,85.66667,1-May-15
PCM,,Medicine - drug,54,Medicine,tabs,10,Undefined,#VALUE!,MISSION 01/5 #12,Kabhre Palanchok,DhulikhelN.P,Kutal,27.6217,85.5576,27.58333,85.66667,1-May-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,4,Undefined,#VALUE!,MISSION 01/5 #12,Kabhre Palanchok,DhulikhelN.P,Kutal,27.6217,85.5576,27.58333,85.66667,1-May-15
Betadine,,Medicine - drug,14,Medicine,bottle,4,Undefined,#VALUE!,MISSION 01/5 #13,Sindhupalchok,Gati,,27.82553,85.90248,27.82936,85.54504,1-May-15
Crepe Bandage,,Medicine - supplies,7,Sanitation - supplies,rolls,4,Undefined,#VALUE!,MISSION 01/5 #13,Sindhupalchok,Gati,,27.82553,85.90248,27.82936,85.54504,1-May-15
Gauge Bandage,,Medicine - supplies,16,Sanitation - supplies,rolls,4,Undefined,#VALUE!,MISSION 01/5 #13,Sindhupalchok,Gati,,27.82553,85.90248,27.82936,85.54504,1-May-15
Metronidazole,,Medicine - drug,43,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 #13,Sindhupalchok,Gati,,27.82553,85.90248,27.82936,85.54504,1-May-15
ORS,,Medicine - rehydration,4,Medicine,box,12,Undefined,#VALUE!,MISSION 01/5 #13,Sindhupalchok,Gati,,27.82553,85.90248,27.82936,85.54504,1-May-15
paraflam,,Medicine - drug,53,Medicine,unit,60,Undefined,#VALUE!,MISSION 01/5 #13,Sindhupalchok,Gati,,27.82553,85.90248,27.82936,85.54504,1-May-15
PCM,,Medicine - drug,54,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 #13,Sindhupalchok,Gati,,27.82553,85.90248,27.82936,85.54504,1-May-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,4,Undefined,#VALUE!,MISSION 01/5 #13,Sindhupalchok,Gati,,27.82553,85.90248,27.82936,85.54504,1-May-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,5,Undefined,#VALUE!,MISSION 01/5 #13,Sindhupalchok,Gati,,27.82553,85.90248,27.82936,85.54504,1-May-15
Tarp,,Tarp,1,Shelter,unit,20,Undefined,#VALUE!,MISSION 01/5 #13,Sindhupalchok,Gati,,27.82553,85.90248,27.82936,85.54504,1-May-15
Tent (15x18),,Tarp,7,Shelter,unit,5,Undefined,#VALUE!,MISSION 01/5 #14,Kabhre Palanchok,PanautiN.P.,,27.5854,85.5242,27.58333,85.66667,1-May-15
Tent (9x12),,Tarp,11,Shelter,unit,5,Undefined,#VALUE!,MISSION 01/5 #14,Kabhre Palanchok,PanautiN.P.,,27.5854,85.5242,27.58333,85.66667,1-May-15
Foam Pads,,Medicine - supplies,15,Sanitation - supplies,unit,10,Undefined,#VALUE!,MISSION 01/5 #15,Kathmandu District,Chhaimale,,27.58783,85.26671,27.70704,85.33218,1-May-15
Jute Rope,,Rope,1,Shelter,unit,7,Undefined,#VALUE!,MISSION 01/5 #15,Kathmandu District,Chhaimale,,27.58783,85.26671,27.70704,85.33218,1-May-15
Metal Pegs,,Metal Pegs,1,Shelter,unit,184,Undefined,#VALUE!,MISSION 01/5 #15,Kathmandu District,Chhaimale,,27.58783,85.26671,27.70704,85.33218,1-May-15
Nylon rope,,Nylon rope,1,Shelter,unit,25,Undefined,#VALUE!,MISSION 01/5 #15,Kathmandu District,Chhaimale,,27.58783,85.26671,27.70704,85.33218,1-May-15
Plastic rolls,,Plastic rolls,1,Shelter,rolls,1,Undefined,#VALUE!,MISSION 01/5 #15,Kathmandu District,Chhaimale,,27.58783,85.26671,27.70704,85.33218,1-May-15
Water Purification Tablets,,Purification tablets,1,Sanitation - Water purification,tabs,40,Undefined,#VALUE!,MISSION 01/5 #15,Kathmandu District,Chhaimale,,27.58783,85.26671,27.70704,85.33218,1-May-15
Biscuits,,Biscuits,1,Food - Dry Food,box,7,4.5,31.5,MISSION 01/5 #16,Lalitpur,Gotikhel,,27.4981,85.3985,27.58333,85.33333,1-May-15
Glucose - D,,Medicine - drug,31,Medicine,bottle,16,Undefined,#VALUE!,MISSION 01/5 #16,Lalitpur,Gotikhel,,27.4981,85.3985,27.58333,85.33333,1-May-15
Lime,,Lime,1,Shelter,pack,10,Undefined,#VALUE!,MISSION 01/5 #16,Lalitpur,Gotikhel,,27.4981,85.3985,27.58333,85.33333,1-May-15
Noodles,,Noodles,2,Food - Dry Food,box,6,4.5,27,MISSION 01/5 #16,Lalitpur,Gotikhel,,27.4981,85.3985,27.58333,85.33333,1-May-15
Tent (15x18),,Tarp,7,Shelter,unit,15,Undefined,#VALUE!,MISSION 01/5 #16,Lalitpur,Gotikhel,,27.4981,85.3985,27.58333,85.33333,1-May-15
Tent (18x24),,Tarp,8,Shelter,unit,5,Undefined,#VALUE!,MISSION 01/5 #16,Lalitpur,Gotikhel,,27.4981,85.3985,27.58333,85.33333,1-May-15
Tent (9x12),,Tarp,11,Shelter,unit,22,Undefined,#VALUE!,MISSION 01/5 #16,Lalitpur,Gotikhel,,27.4981,85.3985,27.58333,85.33333,1-May-15
Biscuits,,Biscuits,1,Food - Dry Food,box,4,4.5,18,MISSION 01/5 #17,Sindhupalchok,Jyamire,Rayale,27.30714,86.47213,27.82936,85.54504,1-May-15
Tent (15x18),,Tarp,7,Shelter,unit,1,Undefined,#VALUE!,MISSION 01/5 #17,Sindhupalchok,Jyamire,Rayale,27.30714,86.47213,27.82936,85.54504,1-May-15
Tent (18x24),,Tarp,8,Shelter,unit,3,Undefined,#VALUE!,MISSION 01/5 #17,Sindhupalchok,Jyamire,Rayale,27.30714,86.47213,27.82936,85.54504,1-May-15
Biscuits,,Biscuits,1,Food - Dry Food,box,8,4.5,36,MISSION 01/5 #18,Lalitpur,Malta,,27.5065,85.2624,27.58333,85.33333,1-May-15
Glucose - D,,Medicine - drug,31,Medicine,bottle,24,Undefined,#VALUE!,MISSION 01/5 #18,Lalitpur,Malta,,27.5065,85.2624,27.58333,85.33333,1-May-15
Lime,,Lime,1,Shelter,pack,20,Undefined,#VALUE!,MISSION 01/5 #18,Lalitpur,Malta,,27.5065,85.2624,27.58333,85.33333,1-May-15
Noodles purchased (75 bags of 20 units),,Noodles,3,Food - Dry Food,box,3,4.5,13.5,MISSION 01/5 #18,Lalitpur,Malta,,27.5065,85.2624,27.58333,85.33333,1-May-15
Tent (12x15),,Tarp,5,Shelter,unit,15,Undefined,#VALUE!,MISSION 01/5 #18,Lalitpur,Malta,,27.5065,85.2624,27.58333,85.33333,1-May-15
Tent (13x20),,Tarp,6,Shelter,unit,4,Undefined,#VALUE!,MISSION 01/5 #18,Lalitpur,Malta,,27.5065,85.2624,27.58333,85.33333,1-May-15
Tent (18x24),,Tarp,8,Shelter,unit,5,Undefined,#VALUE!,MISSION 01/5 #18,Lalitpur,Malta,,27.5065,85.2624,27.58333,85.33333,1-May-15
Tent (9x12),,Tarp,11,Shelter,unit,15,Undefined,#VALUE!,MISSION 01/5 #18,Lalitpur,Malta,,27.5065,85.2624,27.58333,85.33333,1-May-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,3,Undefined,#VALUE!,MISSION 01/5 #3,Sindhupalchok,Sindhupalchok,and also Nuwakot district,27.82936,85.54504,27.82936,85.54504,1-May-15
Cotton,,Medicine - supplies,6,Sanitation - supplies,pack,1,Undefined,#VALUE!,MISSION 01/5 #4,Lalitpur,Lubhu,,27.6359,85.3754,27.58333,85.33333,1-May-15
Noodles,,Noodles,2,Food - Dry Food,box,2,4.5,9,MISSION 01/5 #4,Lalitpur,Lubhu,,27.6359,85.3754,27.58333,85.33333,1-May-15
Electrolytes,,Medicine - rehydration,2,Medicine,unit,20,Undefined,#VALUE!,MISSION 01/5 #5,Kathmandu District,KathmanduN.P.,Balaju,27.70731,85.32218,27.70704,85.33218,1-May-15
Feeding bottles,,Feeding bottles,1,Sanitation - Children supplies,unit,7,Undefined,#VALUE!,MISSION 01/5 #5,Kathmandu District,KathmanduN.P.,Balaju,27.70731,85.32218,27.70704,85.33218,1-May-15
Food packages,,Food packages,1,Food - Supplies,unit,100,Undefined,#VALUE!,MISSION 01/5 #5,Kathmandu District,KathmanduN.P.,Balaju,27.70731,85.32218,27.70704,85.33218,1-May-15
Formula milk,,Formula milk,1,Sanitation - Children supplies,box,15,Undefined,#VALUE!,MISSION 01/5 #5,Kathmandu District,KathmanduN.P.,Balaju,27.70731,85.32218,27.70704,85.33218,1-May-15
Masks,,Masks,2,Sanitation - supplies,box,50,Undefined,#VALUE!,MISSION 01/5 #5,Kathmandu District,KathmanduN.P.,Balaju,27.70731,85.32218,27.70704,85.33218,1-May-15
Mosquito Nets,,Medicine - supplies,23,Sanitation - supplies,unit,9,Undefined,#VALUE!,MISSION 01/5 #5,Kathmandu District,KathmanduN.P.,Balaju,27.70731,85.32218,27.70704,85.33218,1-May-15
Medical Kit,,Medical Kit,1,Medicine,unit,1,Undefined,#VALUE!,MISSION 01/5 #6,Kabhre Palanchok,PanautiN.P.,Khopasi,27.5854,85.5242,27.58333,85.66667,1-May-15
Dal,,Dal,1,Food - Dry Food,sack,10,25,250,MISSION 01/5 #7,Lalitpur,Harisiddhi,,27.6389,85.3456,27.58333,85.33333,1-May-15
Jeera,,Food,2,Food - Supplies,pack,1,Undefined,#VALUE!,MISSION 01/5 #7,Lalitpur,Harisiddhi,,27.6389,85.3456,27.58333,85.33333,1-May-15
Jeevanjal,,Medicine - rehydration,3,Medicine,unit,450,Undefined,#VALUE!,MISSION 01/5 #7,Lalitpur,Harisiddhi,,27.6389,85.3456,27.58333,85.33333,1-May-15
Oil,,Oil,1,Food - Dry Food,bottle,5,1,5,MISSION 01/5 #7,Lalitpur,Harisiddhi,,27.6389,85.3456,27.58333,85.33333,1-May-15
Puenyl,,Medicine - drug,83,Medicine,bottle,3,Undefined,#VALUE!,MISSION 01/5 #7,Lalitpur,Harisiddhi,,27.6389,85.3456,27.58333,85.33333,1-May-15
Rice,,Rice,1,Food - Dry Food,sack,1,25,25,MISSION 01/5 #7,Lalitpur,Harisiddhi,,27.6389,85.3456,27.58333,85.33333,1-May-15
Salt,,Salt,1,Food - Dry Food,pack,5,1,5,MISSION 01/5 #7,Lalitpur,Harisiddhi,,27.6389,85.3456,27.58333,85.33333,1-May-15
Biscuits,,Biscuits,1,Food - Dry Food,box,100,4.5,450,MISSION 01/5 #8,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,1-May-15
Dalmot,,Dalmot,1,Food - Dry Food,pack,7,1,7,MISSION 01/5 #8,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,1-May-15
Furandanal,,Food,1,Food - Supplies,pack,9,Undefined,#VALUE!,MISSION 01/5 #8,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,1-May-15
Glucose - D,,Medicine - drug,31,Medicine,bottle,30,Undefined,#VALUE!,MISSION 01/5 #8,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,1-May-15
Juice,,Juice,2,Food - Drinks,box,140,Undefined,#VALUE!,MISSION 01/5 #8,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,1-May-15
Lito- baby food,,Lito- baby food,1,Sanitation - Children supplies,pack,28,Undefined,#VALUE!,MISSION 01/5 #8,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,1-May-15
Noodles,,Noodles,2,Food - Dry Food,unit,270,0.06,16.2,MISSION 01/5 #8,Lalitpur,Bungamati,,27.6211,85.303,27.58333,85.33333,1-May-15
Adhesive tape,,Medicine - supplies,2,Sanitation - supplies,rolls,1,Undefined,#VALUE!,MISSION 01/5 nosheet 01,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
Azifast (amoxil),,Medicine - drug,10,Medicine,tabs,30,Undefined,#VALUE!,MISSION 01/5 nosheet 01,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
Betadine,,Medicine - drug,14,Medicine,bottle,1,Undefined,#VALUE!,MISSION 01/5 nosheet 01,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
Brufen,,Medicine - drug,16,Medicine,bottle,80,Undefined,#VALUE!,MISSION 01/5 nosheet 01,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
Dettol antiseptic liquids,,Medicine - supplies,8,Sanitation - supplies,bottle,2,Undefined,#VALUE!,MISSION 01/5 nosheet 01,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
Levocetrizine,,Medicine - drug,39,Medicine,tabs,50,Undefined,#VALUE!,MISSION 01/5 nosheet 01,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
Ligdocaine,,Medicine - drug,41,Medicine,bottle,1,Undefined,#VALUE!,MISSION 01/5 nosheet 01,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,4,Undefined,#VALUE!,MISSION 01/5 nosheet 01,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
syringe,,Medicine - supplies,31,Sanitation - supplies,box,22,Undefined,#VALUE!,MISSION 01/5 nosheet 01,Lalitpur,Sankhu,,27.5084,85.3367,27.58333,85.33333,1-May-15
Adhesive tape,,Medicine - supplies,2,Sanitation - supplies,rolls,1,Undefined,#VALUE!,MISSION 01/5 nosheet 02,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,1-May-15
Bandage,,Medicine - supplies,1,Sanitation - supplies,unit,24,Undefined,#VALUE!,MISSION 01/5 nosheet 02,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,1-May-15
Brufen,,Medicine - drug,17,Medicine,tabs,50,Undefined,#VALUE!,MISSION 01/5 nosheet 02,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,1-May-15
Dettol antiseptic liquids,,Medicine - supplies,8,Sanitation - supplies,bottle,1,Undefined,#VALUE!,MISSION 01/5 nosheet 02,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,1-May-15
Gloves,,Medicine - supplies,18,Sanitation - supplies,unit,10,Undefined,#VALUE!,MISSION 01/5 nosheet 02,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,1-May-15
Masks,,Masks,2,Sanitation - supplies,box,1,Undefined,#VALUE!,MISSION 01/5 nosheet 02,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,1-May-15
Metdil (anti diarea),,Medicine - drug,2,Medicine,tabs,20,Undefined,#VALUE!,MISSION 01/5 nosheet 02,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,1-May-15
Paracetamol (Niko),,Medicine - drug,51,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 02,Bhaktapur,BhaktapurN.P.,,27.6748,85.4319,27.66734,85.41673,1-May-15
Acenac (muscular pains),,Medicine - drug,6,Medicine,tabs,50,Undefined,#VALUE!,MISSION 01/5 nosheet 03,Kabhre Palanchok,Mathurapatifulbari,"Bukhil, Bhakundebesi, Khopase",27.577,85.6235,27.58333,85.66667,1-May-15
Bandage,,Medicine - supplies,1,Sanitation - supplies,unit,4,Undefined,#VALUE!,MISSION 01/5 nosheet 03,Kabhre Palanchok,Mathurapatifulbari,"Bukhil, Bhakundebesi, Khopase",27.577,85.6235,27.58333,85.66667,1-May-15
Betadine,,Medicine - drug,14,Medicine,bottle,2,Undefined,#VALUE!,MISSION 01/5 nosheet 03,Kabhre Palanchok,Mathurapatifulbari,"Bukhil, Bhakundebesi, Khopase",27.577,85.6235,27.58333,85.66667,1-May-15
Dettol soaps,,Medicine - supplies,9,Sanitation - supplies,unit,3,Undefined,#VALUE!,MISSION 01/5 nosheet 03,Kabhre Palanchok,Mathurapatifulbari,"Bukhil, Bhakundebesi, Khopase",27.577,85.6235,27.58333,85.66667,1-May-15
Metronidazole,,Medicine - drug,43,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 03,Kabhre Palanchok,Mathurapatifulbari,"Bukhil, Bhakundebesi, Khopase",27.577,85.6235,27.58333,85.66667,1-May-15
Metronidazole syrup,,Medicine - drug,44,Medicine,bottle,3,Undefined,#VALUE!,MISSION 01/5 nosheet 03,Kabhre Palanchok,Mathurapatifulbari,"Bukhil, Bhakundebesi, Khopase",27.577,85.6235,27.58333,85.66667,1-May-15
ORS,,Medicine - rehydration,4,Medicine,box,3,Undefined,#VALUE!,MISSION 01/5 nosheet 03,Kabhre Palanchok,Mathurapatifulbari,"Bukhil, Bhakundebesi, Khopase",27.577,85.6235,27.58333,85.66667,1-May-15
Water purification drops,,Medicine - supplies,37,Sanitation - supplies,bottle,2,Undefined,#VALUE!,MISSION 01/5 nosheet 03,Kabhre Palanchok,Mathurapatifulbari,"Bukhil, Bhakundebesi, Khopase",27.577,85.6235,27.58333,85.66667,1-May-15
Betadine,,Medicine - drug,14,Medicine,bottle,4,Undefined,#VALUE!,MISSION 01/5 nosheet 04,Lalitpur,Bhardev,,27.5493,85.3846,27.58333,85.33333,1-May-15
Cotton,,Medicine - supplies,6,Sanitation - supplies,pack,1,Undefined,#VALUE!,MISSION 01/5 nosheet 04,Lalitpur,Bhardev,,27.5493,85.3846,27.58333,85.33333,1-May-15
Crepe Bandage,,Medicine - supplies,7,Sanitation - supplies,rolls,4,Undefined,#VALUE!,MISSION 01/5 nosheet 04,Lalitpur,Bhardev,,27.5493,85.3846,27.58333,85.33333,1-May-15
Flexon,,Medicine - drug,30,Medicine,unit,15,Undefined,#VALUE!,MISSION 01/5 nosheet 04,Lalitpur,Bhardev,,27.5493,85.3846,27.58333,85.33333,1-May-15
Gauge Bandage,,Medicine - supplies,16,Sanitation - supplies,rolls,4,Undefined,#VALUE!,MISSION 01/5 nosheet 04,Lalitpur,Bhardev,,27.5493,85.3846,27.58333,85.33333,1-May-15
Metronidazole,,Medicine - drug,43,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 04,Lalitpur,Bhardev,,27.5493,85.3846,27.58333,85.33333,1-May-15
Noodles,,Noodles,2,Food - Dry Food,unit,43,0.06,2.58,MISSION 01/5 nosheet 04,Lalitpur,Bhardev,,27.5493,85.3846,27.58333,85.33333,1-May-15
ORS,,Medicine - rehydration,4,Medicine,box,3,Undefined,#VALUE!,MISSION 01/5 nosheet 04,Lalitpur,Bhardev,,27.5493,85.3846,27.58333,85.33333,1-May-15
Paracetamol (Niko),,Medicine - drug,51,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 04,Lalitpur,Bhardev,,27.5493,85.3846,27.58333,85.33333,1-May-15
paraflam,,Medicine - drug,53,Medicine,unit,40,Undefined,#VALUE!,MISSION 01/5 nosheet 04,Lalitpur,Bhardev,,27.5493,85.3846,27.58333,85.33333,1-May-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,9,Undefined,#VALUE!,MISSION 01/5 nosheet 04,Lalitpur,Bhardev,,27.5493,85.3846,27.58333,85.33333,1-May-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,5,Undefined,#VALUE!,MISSION 01/5 nosheet 04,Lalitpur,Bhardev,,27.5493,85.3846,27.58333,85.33333,1-May-15
Tent (15x18),,Tarp,7,Shelter,unit,25,Undefined,#VALUE!,MISSION 01/5 nosheet 04,Lalitpur,Bhardev,,27.5493,85.3846,27.58333,85.33333,1-May-15
Betadine,,Medicine - drug,14,Medicine,bottle,4,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Cotton,,Medicine - supplies,6,Sanitation - supplies,pack,1,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Crepe Bandage,,Medicine - supplies,7,Sanitation - supplies,rolls,4,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Flexon,,Medicine - drug,30,Medicine,unit,75,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Foam Pads,,Medicine - supplies,15,Sanitation - supplies,unit,4,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Gauge Bandage,,Medicine - supplies,16,Sanitation - supplies,rolls,4,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Metal Pegs,,Metal Pegs,1,Shelter,unit,32,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Metronidazole,,Medicine - drug,43,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Nylon rope,,Nylon rope,1,Shelter,unit,4,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
ORS,,Medicine - rehydration,4,Medicine,box,3,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
